strategy	symbol	trades	total_pnl	win_rate	sharpe	max_dd	period
vwap_zscore_reversion	MNQ	84	1171.55	46.43	2.09	597.39	2025-12-24 to 2026-04-30
mean_reversion	MNQ	0	0.00	0.00	0.00	0.00	2025-12-24 to 2026-04-30
trend_following	MNQ	0	0.00	0.00	0.00	0.00	2025-12-24 to 2026-04-30
simple_candle	MNQ	0	0.00	0.00	0.00	0.00	ERR: Extra data: line 1 column 5 (char 4)
