strategy	symbol	fold	start	end	total_pnl	total_trades	win_rate	sharpe_ratio	max_drawdown
body_reversion	MNQ	0	2026-01-21	2026-02-09	319.96	29	44.8276	2.5598	307.79
body_reversion	MNQ	1	2026-02-10	2026-03-01	317.71	27	40.7407	2.5089	255.57
body_reversion	MNQ	2	2026-03-02	2026-03-21	3891.45	42	54.7619	8.2555	652.98
body_reversion	MNQ	3	2026-03-22	2026-04-10	239.45	27	44.4444	1.4730	348.63
body_reversion	MNQ	4	2026-04-11	2026-05-01	-198.71	30	36.6667	-2.1381	409.30
body_reversion	MES	0	2026-01-21	2026-02-09	-135.31	18	27.7778	-3.9298	237.63
body_reversion	MES	1	2026-02-10	2026-03-01	-5.40	19	36.8421	-0.1263	90.27
body_reversion	MES	2	2026-03-02	2026-03-21	722.28	17	52.9412	7.5201	227.77
body_reversion	MES	3	2026-03-22	2026-04-10	70.36	10	60.0000	2.7226	121.16
body_reversion	MES	4	2026-04-11	2026-05-01	-117.59	12	33.3333	-6.7532	182.50
body_reversion	MGC	0	2026-01-21	2026-02-09	822.25	34	44.1176	2.1059	1103.86
body_reversion	MGC	1	2026-02-10	2026-03-01	-14.47	23	34.7826	-0.1348	1005.00
body_reversion	MGC	2	2026-03-02	2026-03-21	-124.04	41	31.7073	-0.4317	728.79
body_reversion	MGC	3	2026-03-22	2026-04-10	103.25	26	46.1538	0.5937	385.79
body_reversion	MGC	4	2026-04-11	2026-05-01	502.39	29	51.7241	4.6212	142.32
